epoch,train_acc_ternary,train_acc_rel,train_acc_norel,train_acc_ternary,test_acc_rel,test_acc_norel
,,,,,,
1,51.9431744,56.75416395,53.34034128,52.41935484,70.41330645,55.59475806
,,,,,,
2,53.15459667,68.8510369,55.44680764,52.06653226,64.01209677,56.19959677
,,,,,,
3,53.30360059,69.68280536,55.74889778,53.52822581,70.81653226,56.55241935
,,,,,,
4,53.54139451,70.44721587,56.22244448,54.03225806,70.41330645,62.55040323
,,,,,,
5,54.05882593,70.85238406,61.07833932,52.36895161,72.98387097,64.01209677
,,,,,,
6,54.5701339,71.62087688,63.29298661,53.47782258,73.79032258,66.02822581
,,,,,,
7,55.36516166,72.64349282,65.91688439,53.83064516,74.54637097,68.85080645
,,,,,,
8,55.47946604,73.31094873,69.40520901,54.93951613,74.84879032,72.42943548
,,,,,,
9,55.86320216,73.98758981,70.48089484,49.04233871,19.30443548,61.1391129
,,,,,,
10,55.83768779,74.42337524,70.97689419,54.53629032,76.05846774,72.83266129
,,,,,,
11,56.11834585,74.66933377,79.54155781,54.13306452,75.15120968,95.71572581
,,,,,,
12,56.05915251,74.99081483,97.57715545,55.89717742,76.46169355,98.13508065
,,,,,,
13,56.28776127,75.84095363,98.82123612,54.38508065,76.96572581,98.58870968
,,,,,,
14,56.77355487,76.36552907,99.16108752,55.34274194,77.77217742,98.84072581
,,,,,,
15,57.01441052,81.58136022,99.35193501,54.6875,82.35887097,99.09274194
,,,,,,
16,57.33385042,85.97493468,99.51114468,55.34274194,86.33266129,99.29435484
,,,,,,
17,57.52265676,86.74461137,99.59687296,55.44354839,88.23991935,99.59677419
,,,,,,
18,57.96660679,88.892758,99.64483997,55.74596774,89.49193548,99.29435484
,,,,,,
19,58.38300131,89.8561806,99.70709504,57.10685484,90.53229,99.29435484
,,,,,,
20,58.90043272,90.69305193,99.73158883,56.19959677,91.60725806,99.29435484
